node_0 0.154145,220.82058 127.0.0.1 0
node_1 0.852912,274.746394 127.0.0.1 0
node_2 7.558188,117.664855 127.0.0.1 1
node_3 7.879545,253.749836 127.0.0.1 0
node_4 8.901384,0.571168 127.0.0.1 0
node_5 19.691106,46.955776 127.0.0.1 0
node_6 22.857079,94.562426 127.0.0.1 0
node_7 25.656152,200.872589 127.0.0.1 0
node_8 27.251183,147.942599 127.0.0.1 1
node_9 29.090856,90.273558 127.0.0.1 1
node_10 29.515137,156.114086 127.0.0.1 1
node_11 29.918899,45.553021 127.0.0.1 1
node_12 39.124154,57.00983 127.0.0.1 2
node_13 39.195335,295.789419 127.0.0.1 1
node_14 47.498483,182.176032 127.0.0.1 0
node_15 47.895276,41.341218 127.0.0.1 0
node_16 51.979871,162.329957 127.0.0.1 0
node_17 54.877475,128.507125 127.0.0.1 0
node_18 56.17383,71.652211 127.0.0.1 0
node_19 60.956063,108.261425 127.0.0.1 0
node_20 64.279162,114.197157 127.0.0.1 0
node_21 66.686825,204.323494 127.0.0.1 0
node_22 69.549013,188.350382 127.0.0.1 0
node_23 71.046764,160.584567 127.0.0.1 0
node_24 72.454527,93.456733 127.0.0.1 0
node_25 74.239982,52.096753 127.0.0.1 0
node_26 74.90796,192.535287 127.0.0.1 0
node_27 76.06215,84.624298 127.0.0.1 0
node_28 84.399088,123.096853 127.0.0.1 0
node_29 84.910245,87.930557 127.0.0.1 0
node_30 87.934273,89.124769 127.0.0.1 0
node_31 95.417452,140.666953 127.0.0.1 0
node_32 96.783205,161.722355 127.0.0.1 0
node_33 104.386189,207.251649 127.0.0.1 1
node_34 106.73018,249.579256 127.0.0.1 0
node_35 119.995129,149.360434 127.0.0.1 0
node_36 123.528807,165.774117 127.0.0.1 0
node_37 126.94566,159.175715 127.0.0.1 0
node_38 127.391249,206.046922 127.0.0.1 1
node_39 130.473742,187.528508 127.0.0.1 1
node_40 137.532744,180.049679 127.0.0.1 0
node_41 147.482219,287.386174 127.0.0.1 0
node_42 149.51829,26.950827 127.0.0.1 0
node_43 154.563789,244.091988 127.0.0.1 0
node_44 157.146092,8.490925 127.0.0.1 0
node_45 157.349928,196.28104 127.0.0.1 0
node_46 161.763032,292.702444 127.0.0.1 0
node_47 163.246672,83.552287 127.0.0.1 0
node_48 165.044076,187.082648 127.0.0.1 0
node_49 171.201983,258.747431 127.0.0.1 0
node_50 171.255488,153.834527 127.0.0.1 0
node_51 171.62604,176.572904 127.0.0.1 0
node_52 176.814926,278.883491 127.0.0.1 0
node_53 176.950256,167.817735 127.0.0.1 0
node_54 177.787126,244.318365 127.0.0.1 0
node_55 178.442579,17.736195 127.0.0.1 0
node_56 181.193431,122.885483 127.0.0.1 2
node_57 181.398086,282.152726 127.0.0.1 1
node_58 186.818495,110.907853 127.0.0.1 0
node_59 188.429451,38.025879 127.0.0.1 0
node_60 194.846838,165.529515 127.0.0.1 0
node_61 199.368016,131.314256 127.0.0.1 0
node_62 203.725403,65.565916 127.0.0.1 0
node_63 205.252539,195.912062 127.0.0.1 0
node_64 207.607376,90.456804 127.0.0.1 0
node_65 208.151441,9.096764 127.0.0.1 0
node_66 213.272159,169.133879 127.0.0.1 0
node_67 214.910512,190.993264 127.0.0.1 1
node_68 216.34433,193.361935 127.0.0.1 0
node_69 218.754218,249.160176 127.0.0.1 0
node_70 221.947734,196.212423 127.0.0.1 0
node_71 225.228917,88.201894 127.0.0.1 0
node_72 225.771911,61.974799 127.0.0.1 0
node_73 225.948383,45.289213 127.0.0.1 0
node_74 226.747052,121.140986 127.0.0.1 0
node_75 234.910492,117.9753 127.0.0.1 0
node_76 236.581475,108.541644 127.0.0.1 0
node_77 239.162562,32.214334 127.0.0.1 0
node_78 240.316513,219.069443 127.0.0.1 0
node_79 244.621551,263.403528 127.0.0.1 0
node_80 259.600504,209.01575 127.0.0.1 0
node_81 264.162937,89.133678 127.0.0.1 0
node_82 268.308519,29.236386 127.0.0.1 0
node_83 268.902524,96.625191 127.0.0.1 2
node_84 269.097587,204.796046 127.0.0.1 0
node_85 278.096041,286.483632 127.0.0.1 0
node_86 279.853929,222.554688 127.0.0.1 0
node_87 292.572486,23.836087 127.0.0.1 1
node_88 293.075061,22.2873 127.0.0.1 0
node_89 293.678807,276.663678 127.0.0.1 2
