node_0 0.154145,220.820580 0
node_1 0.852912,274.746394 0
node_2 8.901384,0.571168 0
node_3 19.691106,46.955776 2
node_4 25.656152,200.872589 0
node_5 27.251183,147.942599 0
node_6 29.090856,90.273558 0
node_7 39.195335,295.789419 0
node_8 47.498483,182.176032 0
node_9 51.979871,162.329957 2
node_10 54.877475,128.507125 0
node_11 56.173830,71.652211 0
node_12 60.956063,108.261425 0
node_13 64.279162,114.197157 0
node_14 66.686825,204.323494 0
node_15 71.046764,160.584567 0
node_16 72.454527,93.456733 0
node_17 76.062150,84.624298 0
node_18 84.399088,123.096853 2
node_19 84.910245,87.930557 0
node_20 87.934273,89.124769 0
node_21 95.417452,140.666953 0
node_22 104.386189,207.251649 0
node_23 119.995129,149.360434 0
node_24 126.945660,159.175715 0
node_25 127.391249,206.046922 0
node_26 130.473742,187.528508 0
node_27 154.563789,244.091988 0
node_28 157.146092,8.490925 1
node_29 163.246672,83.552287 0
node_30 165.044076,187.082648 2
node_31 171.201983,258.747431 0
node_32 176.950256,167.817735 0
node_33 178.442579,17.736195 2
node_34 181.193431,122.885483 0
node_35 181.398086,282.152726 0
node_36 186.818495,110.907853 0
node_37 188.429451,38.025879 0
node_38 194.846838,165.529515 1
node_39 199.368016,131.314256 0
node_40 203.725403,65.565916 1
node_41 207.607376,90.456804 0
node_42 213.272159,169.133879 0
node_43 216.344330,193.361935 1
node_44 218.754218,249.160176 0
node_45 225.771911,61.974799 1
node_46 226.747052,121.140986 0
node_47 236.581475,108.541644 0
node_48 240.316513,219.069443 1
node_49 244.621551,263.403528 2
node_50 259.600504,209.015750 0
node_51 264.162937,89.133678 0
node_52 268.308519,29.236386 0
node_53 268.902524,96.625191 1
node_54 269.097587,204.796046 0
node_55 278.096041,286.483632 0
node_56 279.853929,222.554688 0
node_57 292.572486,23.836087 2
node_58 293.075061,22.287300 0
node_59 293.678807,276.663678 0
