node_0 19.691106,46.955776 127.0.0.1 0
node_1 25.656152,200.872589 127.0.0.1 0
node_2 27.251183,147.942599 127.0.0.1 0
node_3 29.090856,90.273558 127.0.0.1 0
node_4 39.195335,295.789419 127.0.0.1 0
node_5 47.498483,182.176032 127.0.0.1 0
node_6 51.979871,162.329957 127.0.0.1 0
node_7 54.877475,128.507125 127.0.0.1 0
node_8 60.956063,108.261425 127.0.0.1 0
node_9 64.279162,114.197157 127.0.0.1 0
node_10 66.686825,204.323494 127.0.0.1 0
node_11 72.454527,93.456733 127.0.0.1 0
node_12 76.06215,84.624298 127.0.0.1 2
node_13 84.910245,87.930557 127.0.0.1 0
node_14 87.934273,89.124769 127.0.0.1 0
node_15 95.417452,140.666953 127.0.0.1 0
node_16 104.386189,207.251649 127.0.0.1 0
node_17 126.94566,159.175715 127.0.0.1 0
node_18 127.391249,206.046922 127.0.0.1 0
node_19 154.563789,244.091988 127.0.0.1 0
node_20 157.146092,8.490925 127.0.0.1 0
node_21 163.246672,83.552287 127.0.0.1 2
node_22 171.201983,258.747431 127.0.0.1 0
node_23 178.442579,17.736195 127.0.0.1 0
node_24 181.398086,282.152726 127.0.0.1 0
node_25 194.846838,165.529515 127.0.0.1 0
node_26 199.368016,131.314256 127.0.0.1 1
node_27 203.725403,65.565916 127.0.0.1 0
node_28 207.607376,90.456804 127.0.0.1 0
node_29 213.272159,169.133879 127.0.0.1 0
node_30 216.34433,193.361935 127.0.0.1 0
node_31 225.771911,61.974799 127.0.0.1 0
node_32 226.747052,121.140986 127.0.0.1 0
node_33 236.581475,108.541644 127.0.0.1 1
node_34 240.316513,219.069443 127.0.0.1 0
node_35 259.600504,209.01575 127.0.0.1 0
node_36 264.162937,89.133678 127.0.0.1 0
node_37 268.308519,29.236386 127.0.0.1 0
node_38 268.902524,96.625191 127.0.0.1 0
node_39 269.097587,204.796046 127.0.0.1 0
node_40 278.096041,286.483632 127.0.0.1 0
node_41 279.853929,222.554688 127.0.0.1 1
node_42 292.572486,23.836087 127.0.0.1 0
node_43 293.075061,22.2873 127.0.0.1 1
node_44 293.678807,276.663678 127.0.0.1 2
